2021-12-11 23:12:414 INFO  HomePage :63 - Enter job title : Tester
2021-12-11 23:12:514 INFO  HomePage :70 - Enter location : Harrow
2021-12-11 23:12:01 INFO  HomePage :77 - Select distance : up to 5 miles
2021-12-11 23:12:116 INFO  HomePage :84 - Click on more search : [[ChromeDriver: chrome on WINDOWS (2f9a7ac249690acdd36db1a48e53c27b)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-11 23:12:290 INFO  HomePage :90 - Enter minimum salary : [[ChromeDriver: chrome on WINDOWS (2f9a7ac249690acdd36db1a48e53c27b)] -> xpath: //input[@id='salarymin']]
2021-12-11 23:12:413 INFO  HomePage :97 - Enter maximum salary : 500000
2021-12-11 23:12:618 INFO  HomePage :104 - Select salary type : Per annum
2021-12-11 23:12:837 INFO  HomePage :111 - Select job type : Permanent
2021-12-11 23:12:29 INFO  HomePage :63 - Enter job title : Tester
2021-12-11 23:12:131 INFO  HomePage :70 - Enter location : Edgware
2021-12-11 23:12:624 INFO  HomePage :77 - Select distance : up to 1 mile
2021-12-11 23:12:736 INFO  HomePage :84 - Click on more search : [[ChromeDriver: chrome on WINDOWS (43e44a02fd8ad4f1ddfbb53dab9bac16)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-11 23:12:909 INFO  HomePage :90 - Enter minimum salary : [[ChromeDriver: chrome on WINDOWS (43e44a02fd8ad4f1ddfbb53dab9bac16)] -> xpath: //input[@id='salarymin']]
2021-12-11 23:12:11 INFO  HomePage :97 - Enter maximum salary : 5000
2021-12-11 23:12:191 INFO  HomePage :104 - Select salary type : Per month
2021-12-11 23:12:425 INFO  HomePage :111 - Select job type : Contract
2021-12-11 23:12:81 INFO  HomePage :63 - Enter job title : Tester
2021-12-11 23:12:194 INFO  HomePage :70 - Enter location : Wembley
2021-12-11 23:12:629 INFO  HomePage :77 - Select distance : up to 10 miles
2021-12-11 23:12:754 INFO  HomePage :84 - Click on more search : [[ChromeDriver: chrome on WINDOWS (7a7776e89235f3973974c93a1b7ac372)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-11 23:12:954 INFO  HomePage :90 - Enter minimum salary : [[ChromeDriver: chrome on WINDOWS (7a7776e89235f3973974c93a1b7ac372)] -> xpath: //input[@id='salarymin']]
2021-12-11 23:12:53 INFO  HomePage :97 - Enter maximum salary : 550
2021-12-11 23:12:259 INFO  HomePage :104 - Select salary type : Per day
2021-12-11 23:12:505 INFO  HomePage :111 - Select job type : Part Time
2021-12-11 23:12:27 INFO  HomePage :63 - Enter job title : Tester
2021-12-11 23:12:140 INFO  HomePage :70 - Enter location : Stanmore
2021-12-11 23:12:577 INFO  HomePage :77 - Select distance : up to 2 miles
2021-12-11 23:12:666 INFO  HomePage :84 - Click on more search : [[ChromeDriver: chrome on WINDOWS (84c96c0c34921740ff7713447c12a0c0)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-11 23:12:802 INFO  HomePage :90 - Enter minimum salary : [[ChromeDriver: chrome on WINDOWS (84c96c0c34921740ff7713447c12a0c0)] -> xpath: //input[@id='salarymin']]
2021-12-11 23:12:910 INFO  HomePage :97 - Enter maximum salary : 200
2021-12-11 23:12:115 INFO  HomePage :104 - Select salary type : Per hour
2021-12-11 23:12:352 INFO  HomePage :111 - Select job type : Temporary
2021-12-11 23:12:54 INFO  HomePage :63 - Enter job title : Tester
2021-12-11 23:12:154 INFO  HomePage :70 - Enter location : Pinner
2021-12-11 23:12:607 INFO  HomePage :77 - Select distance : up to 25 miles
2021-12-11 23:12:714 INFO  HomePage :84 - Click on more search : [[ChromeDriver: chrome on WINDOWS (3b01a28fa526abac2012055ac9fd2931)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-11 23:12:887 INFO  HomePage :90 - Enter minimum salary : [[ChromeDriver: chrome on WINDOWS (3b01a28fa526abac2012055ac9fd2931)] -> xpath: //input[@id='salarymin']]
2021-12-11 23:12:992 INFO  HomePage :97 - Enter maximum salary : 100000
2021-12-11 23:12:195 INFO  HomePage :104 - Select salary type : Per annum
2021-12-11 23:12:472 INFO  HomePage :111 - Select job type : Apprenticeship
2021-12-11 23:12:938 INFO  HomePage :63 - Enter job title : Tester
2021-12-11 23:12:43 INFO  HomePage :70 - Enter location : Ruislip
2021-12-11 23:12:477 INFO  HomePage :77 - Select distance : up to 7 miles
2021-12-11 23:12:578 INFO  HomePage :84 - Click on more search : [[ChromeDriver: chrome on WINDOWS (cb49b5b819d46da5da6c9b63b57af540)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-11 23:12:736 INFO  HomePage :90 - Enter minimum salary : [[ChromeDriver: chrome on WINDOWS (cb49b5b819d46da5da6c9b63b57af540)] -> xpath: //input[@id='salarymin']]
2021-12-11 23:12:850 INFO  HomePage :97 - Enter maximum salary : 65000
2021-12-11 23:12:56 INFO  HomePage :104 - Select salary type : Per annum
2021-12-11 23:12:289 INFO  HomePage :111 - Select job type : Permanent
2021-12-11 23:12:236 INFO  HomePage :63 - Enter job title : Tester
2021-12-11 23:12:331 INFO  HomePage :70 - Enter location : Alperton
2021-12-11 23:12:747 INFO  HomePage :77 - Select distance : up to 750 miles
2021-12-11 23:12:848 INFO  HomePage :84 - Click on more search : [[ChromeDriver: chrome on WINDOWS (c1d262ba02cfab143ee7079ddf138b73)] -> xpath: //button[@id='toggle-hp-search']]
